min_genes,max_genes,min_counts,max_counts,max_pct_mt,target_sum,n_top_genes,do_scale,max_value,n_pcs,svd_solver,n_neighbors,metric,resolution,random_seed,marker_coherence,cluster_stability,silhouette,cluster_balance,objective
100,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,1.2,42,0.16,0.9115792637077679,0.6101002022624016,0.9226125754127341,0.5517550771060841
100,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,0.6,42,0.20833333333333331,0.9021991296327275,0.5980145186185837,0.9275775349614725,0.5663537294430155
100,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,cosine,0.8,42,0.15277777777777776,0.9083172929653908,0.6063089296221733,0.9162437402134159,0.5464924589465046
100,100000,10,100000,10.0,1000,5000,True,10.0,60,randomized,50,euclidean,0.8,42,0.15873015873015875,0.866225177964259,0.6040660738945007,0.9223984944713807,0.5364126811073794
100,100000,10,100000,10.0,1000,4000,True,10.0,50,randomized,45,euclidean,0.8,42,0.15873015873015875,0.9091226005171872,0.6106556355953217,0.9310231817286595,0.5514622889391498
100,100000,200,100000,10.0,1000,4000,True,10.0,60,randomized,35,euclidean,0.8,42,0.15873015873015875,0.9083378667012733,0.6011334583163261,0.9387385638207529,0.5500939715477859
100,100000,10,100000,10.0,1000,4000,True,10.0,60,arpack,45,euclidean,0.8,42,0.20833333333333331,0.9047394594805764,0.5989793837070465,0.9371716459035672,0.5682682125092722
200,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,0.8,42,0.18253968253968256,0.8912343027682462,0.6016273647546768,0.9305557847040316,0.5537672152676855
100,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,45,euclidean,0.8,42,0.20833333333333331,0.8875726115058734,0.5999657586216927,0.9373052389680134,0.5633287924062352
100,100000,10,100000,10.0,1000,5000,True,10.0,60,randomized,45,euclidean,1.2,42,0.14102564102564102,0.9120658913693247,0.6177366599440575,0.9074765517004908,0.5443250109799145
100,100000,10,100000,10.0,1000,5000,True,10.0,60,randomized,45,euclidean,0.6,42,0.18333333333333332,0.8753083483875103,0.6019503474235535,0.9279242691291313,0.5491083342472103
100,100000,10,100000,10.0,1000,4000,True,10.0,60,arpack,50,euclidean,0.8,42,0.20833333333333331,0.9010443401495376,0.5987536162137985,0.9369928510729694,0.5670966437282512
100,100000,10,100000,10.0,1000,4000,True,10.0,60,arpack,45,euclidean,0.9,42,0.18253968253968256,0.9186605490520984,0.6011026501655579,0.9326762704438678,0.5621021948090008
100,100000,10,100000,10.0,1000,4000,True,10.0,60,arpack,55,euclidean,0.7,42,0.20833333333333331,0.8984493882410317,0.5990507379174232,0.9360277734890136,0.5662810747380288
100,100000,10,100000,10.0,5000,4000,True,10.0,80,arpack,50,euclidean,0.8,42,0.18253968253968256,0.8160224464561118,0.5667403489351273,0.9328569232672146,0.5244563690664534
100,100000,10,100000,10.0,1000,4000,True,10.0,60,arpack,50,cosine,0.9,42,0.14102564102564102,0.9020316486596703,0.609519399702549,0.9232256208004508,0.5412461930287124
100,100000,10,100000,10.0,1000,4000,True,10.0,60,randomized,48,euclidean,0.5,42,0.19298245614035087,0.800102686328145,0.5933083221316338,0.9384339529460541,0.529728848075516
